שם             	ענף בבורסה                                	כתובת                                      	טלפון       	פקס        	אתר הבית                       	דואר אלקטרוני                     	שם מלא                                      	מספר מנפיק	מספר תאגיד
אפריקה נכסים   	ריאלי - נדלן ובינוי - נדלן ובינוי         	דרך החורש 4,קרית סביונים, יהוד             	03-5393535  	03-5393523 	www.africa-israel.com          	larisac@africa-israel.com         	אפריקה ישראל נכסים בעמ                      	1172      	510560188
אפריקה תעשיות  	ריאלי - תעשיה - מתכת ומוצרי בניה          	פקר 12, קרית מלאכי                         	08-6625105  	08-8503895 	www.packer.co.il               	litaln@packer.co.il               	אפריקה ישראל תעשיות בעמ                     	800       	520026618
אקויטל         	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	גרניט 8, קרית-אריה, פתח-תקוה               	03-9229225  	03-9229255 	                               	office@isramco.co.il              	אקויטל בעמ                                  	755       	520030859
אקס טי אל      	הייטק - ביומד - ביוטכנולוגיה              	מדינת היהודים 85, הרצליה פיתוח             	09-9557080  	09-9519727 	www.xtlbio.com                 	ir@xtlbio.com                     	אקס טי אל  ביופרמסוטיקלס בעמ                	2190      	520039470
אקסטל לימיטד   	ריאלי - נדלן ובינוי - נדלן ובינוי         	עוד שמעונוב,מנחם בגין 11, רמת גן           	03-6111000  	03-6133355 	www.extelldev.com              	gbarnett@extelldev.com            	אקסטל לימיטד                                	1622      	0
אקסטרא(ש)      	ריאלי - תעשיה - כימיה, גומי ופלסטיק       	מדריד 12, אזור תעשיה חדש, שדרות            	08-6611110  	08-6610899 	www.extra-plastic.com          	extrapl@netvision.net.il          	אקסטרא פלסטיק בעמ                           	495       	520039892
אקסלנז ביוסיינס	הייטק - ביומד - מכשור רפואי               	המעין 4, מודיעין                           	08-9737500  	08-9737501 	www.exalenz.com                	dudys@exalenz.com                 	אקסלנז ביוסיינס בעמ                         	1455      	513821504
אקסלנס השקעות  	פיננסי - שרותים פיננסיים - שרותים פיננסיים	אפעל 25, פתח תקוה                          	03-7532000  	03-7608497 	www.xnes.co.il                 	yifatf@xnes.co.il                 	אקסלנס השקעות בעמ                           	1009      	520041989
אראסאל         	הייטק - טכנולוגיה - ביטחוניות             	א.ת. רמת גבריאל, תד 21, מגדל-העמק          	04-6547510  	04-6547520 	www.rsl.co.il                  	info@rsl.co.il                    	אר.אס.אל.אלקטרוניקה בעמ                     	299       	520037458
ארגמן(ש)       	ריאלי - תעשיה - אופנה והלבשה              	הסדנא 6, כפר סבא                           	09-7643305  	09-7669544 	                               	uziba@gibor.co.il                 	ארגמן תעשיות בעמ                            	617       	520004847
ארד            	הייטק - טכנולוגיה - אלקטרוניקה ואופטיקה   	                                           	04-9897911  	04-9897926 	www.arad.co.il                 	yoavf@arad.co.il                  	ארד בעמ                                     	1219      	510007800
ארזים(ש)       	ריאלי - נדלן ובינוי - נדלן ובינוי         	מנחם בגין 7, רמת-גן                        	03-6132243  	03-6132245 	                               	arz@barak.net.il                  	ארזים השקעות בעמ                            	138       	520034281
ארית תעשיות    	הייטק - טכנולוגיה - ביטחוניות             	הפלדה 7, אזור תעשיה ישן, אור-יהודה         	03-5388604/3	03-5339223 	www.arytltd.com                	info@arytltd.com                  	ארית תעשיות בעמ                             	587       	520033358
ארן מופ        	ריאלי - מסחר ושרותים - שרותים             	האשל 43, פארק התעשיה, קיסריה               	04-6239000  	04-6273260 	www.aran-rd.com                	aran@aran-rd.com                  	ארן מחקר ופיתוח (1982) בעמ                  	1122      	510959596
ארנה גרופ      	ריאלי - נדלן ובינוי - נדלן ובינוי         	ויצמן 2, בנין אמות, ק' 17, תל אביב         	03-7464100  	03-7464111 	                               	shay@manofim.co.il                	ארנה סטאר גרופ בעמ                          	366       	520038332
ארקו החזקות    	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	ספיר 7, הרצליה פיתוח                       	072-2748790 	072-2748772	                               	info@arko-holdings.com            	ארקו החזקות בעמ                             	310       	520037367
אשדר           	ריאלי - נדלן ובינוי - נדלן ובינוי         	יגאל אלון 57, תל-אביב                      	03-6374200  	03-6374203 	www.ashdar.co.il               	moshe_oc@ashdar.co.il             	אשדר חברה לבניה בעמ                         	1448      	510609761
אשטרום נכסים   	ריאלי - נדלן ובינוי - נדלן ובינוי         	קרמניצקי 10, תל-אביב                       	03-6231331  	03-6231332 	www.ashtrom.com                	dudu@ashtrom.co.il                	אשטרום נכסים בעמ                            	251       	520036617
אשטרום קבוצה   	ריאלי - נדלן ובינוי - נדלן ובינוי         	קרמניצקי 10, תל אביב                       	03-6231399  	03-6231409 	www.ashtrom.com                	dalia@ashtrom.co.il               	קבוצת אשטרום בעמ                            	1618      	510381601
אתלון השקעות   	ריאלי - מסחר ושרותים - תקשורת ומדיה       	אצל קוליטסט,יגיע כפיים 21, פתח תקוה        	03-5445347  	03-6244425 	www.apio.net                   	ylubin@atlngroup.com              	אתלון השקעות בעמ                            	383       	520038548
ב.יאיר         	ריאלי - נדלן ובינוי - נדלן ובינוי         	יד חרוצים 3, ירושלים                       	02-6299999  	02-6737636 	www.b-yair.co.il               	asaf@b-yair.co.il                 	ב.יאיר חברה קבלנית לעבודות בניה 1988 בעמ    	1289      	511327017
